"id","alias","valid_from_date","valid_to_date","nameset_id","hierarchy_name_id","admin_level","alias_dot_name","last_upddate","last_userid","message","parent_id"
NA,"bobirwa",NA,NA,9,300202,1,"africa:bot:bobirwa",NA,"kmccarthy",NA,289690
NA,"boteti",NA,NA,9,300203,1,"africa:bot:boteti",NA,"kmccarthy",NA,289684
NA,"chobe",NA,NA,9,300208,1,"africa:bot:chobe",NA,"kmccarthy",NA,289698
NA,"francistown",NA,NA,9,300209,1,"africa:bot:francistown",NA,"kmccarthy",NA,289697
NA,"gaborone",NA,NA,9,300210,1,"africa:bot:gaborone",NA,"kmccarthy",NA,289696
NA,"gantsi",NA,NA,9,300211,1,"africa:bot:gantsi",NA,"kmccarthy",NA,289694
NA,"goodhope",NA,NA,9,300206,1,"africa:bot:goodhope",NA,"kmccarthy",NA,289702
NA,"hukuntsi",NA,NA,9,300212,1,"africa:bot:hukuntsi",NA,"kmccarthy",NA,289695
NA,"jwaneng",NA,NA,9,300207,1,"africa:bot:jwaneng",NA,"kmccarthy",NA,289702
NA,"kgalagadi",NA,NA,9,300213,1,"africa:bot:kgalagadi",NA,"kmccarthy",NA,289691
NA,"kgatleng",NA,NA,9,300214,1,"africa:bot:kgatleng",NA,"kmccarthy",NA,289693
NA,"kweneng east",NA,NA,9,300215,1,"africa:bot:kweneng east",NA,"kmccarthy",NA,289678
NA,"kweneng west",NA,NA,9,300216,1,"africa:bot:kweneng west",NA,"kmccarthy",NA,289677
NA,"lobatse",NA,NA,9,300217,1,"africa:bot:lobatse",NA,"kmccarthy",NA,289692
NA,"mahalapye",NA,NA,9,300218,1,"africa:bot:mahalapye",NA,"kmccarthy",NA,289679
NA,"ngami",NA,NA,9,300220,1,"africa:bot:ngami",NA,"kmccarthy",NA,289703
NA,"north east",NA,NA,9,300221,1,"africa:bot:north east",NA,"kmccarthy",NA,289680
NA,"selibe phikwe",NA,NA,9,300223,1,"africa:bot:selibe phikwe",NA,"kmccarthy",NA,289699
NA,"serowe/palapye",NA,NA,9,300224,1,"africa:bot:serowe/palapye",NA,"kmccarthy",NA,289655
NA,"south east",NA,NA,9,300225,1,"africa:bot:south east",NA,"kmccarthy",NA,289685
NA,"tutume",NA,NA,9,300227,1,"africa:bot:tutume",NA,"kmccarthy",NA,289689
NA,"bubanza",NA,NA,9,295689,1,"africa:buu:bubanza",NA,"kmccarthy",NA,289561
NA,"bururi",NA,NA,9,295696,1,"africa:buu:bururi",NA,"kmccarthy",NA,289540
NA,"cankuzo",NA,NA,9,295699,1,"africa:buu:cankuzo",NA,"kmccarthy",NA,289552
NA,"cibitoke",NA,NA,9,295700,1,"africa:buu:cibitoke",NA,"kmccarthy",NA,289503
NA,"gitega",NA,NA,9,295702,1,"africa:buu:gitega",NA,"kmccarthy",NA,289548
NA,"kayanza",NA,NA,9,295707,1,"africa:buu:kayanza",NA,"kmccarthy",NA,289557
NA,"kirundo",NA,NA,9,295709,1,"africa:buu:kirundo",NA,"kmccarthy",NA,289562
NA,"makamba",NA,NA,9,295712,1,"africa:buu:makamba",NA,"kmccarthy",NA,289555
NA,"muramvya",NA,NA,9,295714,1,"africa:buu:muramvya",NA,"kmccarthy",NA,289553
NA,"muyinga",NA,NA,9,295716,1,"africa:buu:muyinga",NA,"kmccarthy",NA,289551
NA,"ngozi",NA,NA,9,295720,1,"africa:buu:ngozi",NA,"kmccarthy",NA,289538
NA,"rutana",NA,NA,9,295722,1,"africa:buu:rutana",NA,"kmccarthy",NA,289542
NA,"ruyigi",NA,NA,9,295725,1,"africa:buu:ruyigi",NA,"kmccarthy",NA,289549
NA,"maio",NA,NA,9,305409,1,"africa:cav:maio",NA,"kmccarthy",NA,289892
NA,"sao vicente",NA,NA,9,305420,1,"africa:cav:sao vicente",NA,"kmccarthy",NA,289873
NA,"bandundu",NA,NA,9,300531,1,"africa:cod:bandundu",NA,"kmccarthy",NA,291160
NA,"kinshasa",NA,NA,9,300818,1,"africa:cod:kinshasa",NA,"kmccarthy",NA,288754
NA,"mwali",NA,NA,9,312434,1,"africa:com:mwali",NA,"kmccarthy",NA,290344
NA,"dire dawa",NA,NA,9,306184,1,"africa:eth:dire dawa",NA,"kmccarthy",NA,288856
NA,"harari",NA,NA,9,306187,1,"africa:eth:harari",NA,"kmccarthy",NA,289984
NA,"banjul",NA,NA,9,306490,1,"africa:gam:banjul",NA,"kmccarthy",NA,290102
NA,"maccarthy island",NA,NA,9,306496,1,"africa:gam:maccarthy island",NA,"kmccarthy",NA,290103
NA,"bafata",NA,NA,9,325329,1,"africa:gub:bafata",NA,"kmccarthy",NA,290165
NA,"bolama",NA,NA,9,306954,1,"africa:gub:bolama",NA,"kmccarthy",NA,290170
NA,"biombo",NA,NA,9,291799,1,"africa:gub:biombo",NA,"kmccarthy",NA,290166
NA,"bissau",NA,NA,9,306949,1,"africa:gub:bissau",NA,"kmccarthy",NA,290161
NA,"cacheu",NA,NA,9,306951,1,"africa:gub:cacheu",NA,"kmccarthy",NA,290164
NA,"gabu",NA,NA,9,306952,1,"africa:gub:gabu",NA,"kmccarthy",NA,290172
NA,"oio",NA,NA,9,306953,1,"africa:gub:oio",NA,"kmccarthy",NA,290177
NA,"quinara",NA,NA,9,306955,1,"africa:gub:quinara",NA,"kmccarthy",NA,290170
NA,"tombali",NA,NA,9,306956,1,"africa:gub:tombali",NA,"kmccarthy",NA,290171
NA,"boke",NA,NA,9,306525,1,"africa:gui:boke",NA,"kmccarthy",NA,288872
NA,"mamou",NA,NA,9,306553,1,"africa:gui:mamou",NA,"kmccarthy",NA,290110
NA,"n'zerekore",NA,NA,9,306561,1,"africa:gui:n'zerekore",NA,"kmccarthy",NA,290111
NA,"kankan",NA,NA,9,306538,1,"africa:gui:kankan",NA,"kmccarthy",NA,290106
NA,"kindia",NA,NA,9,306543,1,"africa:gui:kindia",NA,"kmccarthy",NA,290105
NA,"faranah",NA,NA,9,306536,1,"africa:gui:faranah",NA,"kmccarthy",NA,290104
NA,"labe",NA,NA,9,306550,1,"africa:gui:labe",NA,"kmccarthy",NA,290108
NA,"nairobi",NA,NA,9,312216,1,"africa:ken:nairobi",NA,"kmccarthy",NA,290460
NA,"berea",NA,NA,9,312809,1,"africa:les:berea",NA,"kmccarthy",NA,290563
NA,"leribe",NA,NA,9,312811,1,"africa:les:leribe",NA,"kmccarthy",NA,290548
NA,"mafeteng",NA,NA,9,312812,1,"africa:les:mafeteng",NA,"kmccarthy",NA,290556
NA,"maseru",NA,NA,9,312813,1,"africa:les:maseru",NA,"kmccarthy",NA,290519
NA,"mokhotlong",NA,NA,9,312815,1,"africa:les:mokhotlong",NA,"kmccarthy",NA,290562
NA,"quthing",NA,NA,9,312817,1,"africa:les:quthing",NA,"kmccarthy",NA,290564
NA,"bomi",NA,NA,9,312804,1,"africa:lib:bomi",NA,"kmccarthy",NA,290549
NA,"bong",NA,NA,9,312794,1,"africa:lib:bong",NA,"kmccarthy",NA,290552
NA,"gbarpolu",NA,NA,9,312795,1,"africa:lib:gbarpolu",NA,"kmccarthy",NA,290542
NA,"grand bassa",NA,NA,9,312796,1,"africa:lib:grand bassa",NA,"kmccarthy",NA,290545
NA,"grand cape mount",NA,NA,9,312798,1,"africa:lib:grand cape mount",NA,"kmccarthy",NA,290558
NA,"grand gedeh",NA,NA,9,312800,1,"africa:lib:grand gedeh",NA,"kmccarthy",NA,290547
NA,"grand kru",NA,NA,9,312803,1,"africa:lib:grand kru",NA,"kmccarthy",NA,290550
NA,"lofa",NA,NA,9,312801,1,"africa:lib:lofa",NA,"kmccarthy",NA,290543
NA,"margibi",NA,NA,9,312805,1,"africa:lib:margibi",NA,"kmccarthy",NA,290549
NA,"maryland",NA,NA,9,312802,1,"africa:lib:maryland",NA,"kmccarthy",NA,290550
NA,"montserrado",NA,NA,9,312806,1,"africa:lib:montserrado",NA,"kmccarthy",NA,290549
NA,"nimba",NA,NA,9,312807,1,"africa:lib:nimba",NA,"kmccarthy",NA,290555
NA,"rivercess",NA,NA,9,312797,1,"africa:lib:rivercess",NA,"kmccarthy",NA,290545
NA,"river gee",NA,NA,9,312799,1,"africa:lib:river gee",NA,"kmccarthy",NA,290547
NA,"sinoe",NA,NA,9,312808,1,"africa:lib:sinoe",NA,"kmccarthy",NA,290559
NA,"gao",NA,NA,9,313155,1,"africa:mai:gao",NA,"kmccarthy",NA,290898
NA,"koulikoro",NA,NA,9,313176,1,"africa:mai:koulikoro",NA,"kmccarthy",NA,290907
NA,"sikasso",NA,NA,9,313192,1,"africa:mai:sikasso",NA,"kmccarthy",NA,290906
NA,"kayes",NA,NA,9,313164,1,"africa:mai:kayes",NA,"kmccarthy",NA,290899
NA,"kidal",NA,NA,9,313167,1,"africa:mai:kidal",NA,"kmccarthy",NA,290915
NA,"mopti",NA,NA,9,313179,1,"africa:mai:mopti",NA,"kmccarthy",NA,290897
NA,"segou",NA,NA,9,313201,1,"africa:mai:segou",NA,"kmccarthy",NA,290905
